polygon,mound_density,mean_mound_height,rep_poly_count,cover_g1,cover_g3,cover_b13,treatment,landscape,rep
1,0.42288040390594406,0.9351727029551631,543889,0.033446162728056644,0.06724717727330393,0.03380101454524728,agriculture,andover,0
1,0.4195894317410414,0.9532012939453125,667319,0.03670808114260196,0.0675209307692423,0.030812849626640333,agriculture,andover,1
1,0.39549846202130334,0.9545465284778226,783821,0.03497992526354869,0.06653432352539675,0.03155439826184805,agriculture,andover,2
1,0.2624029109229585,0.9816691080729166,685968,0.044709082639423414,0.07730535535185315,0.032596272712429736,agriculture,andover,3
1,0.2737874458369178,0.99237060546875,693969,0.0442397282875748,0.07879890888497901,0.034559180597404204,agriculture,andover,4
1,0.32550655188079103,0.9627499787703805,706591,0.044720354490787456,0.07769699868806706,0.032976644197279616,agriculture,andover,5
1,0.2791901005394573,0.9816691080729166,644722,0.04530479803698338,0.08005621027357528,0.034751412236591894,agriculture,andover,6
1,0.2783386181986353,1.0369826096754808,467057,0.05376859783709483,0.08579252639399473,0.03202392855689991,agriculture,andover,7
1,0.4128042711481921,0.9361187970196759,654063,0.03200456225164854,0.06477816357139908,0.032773601319750545,agriculture,andover,8
1,0.3738173504308547,0.9545465284778226,829282,0.034775866351856186,0.06523112765018413,0.03045526129832795,agriculture,andover,9
1,0.38054067218704335,0.96199951171875,788352,0.03355861341126806,0.06427966187692807,0.03072104846566001,agriculture,andover,10
1,0.349433185556912,0.9545465284778226,887151,0.03585635365343667,0.06644753824320775,0.030591184589771076,agriculture,andover,11
1,0.26894455811374696,1.0369826096754808,483371,0.05263865643573983,0.08420240353682781,0.03156374710108798,agriculture,andover,12
1,0.3692828018632227,0.9544151569234913,785306,0.04309020942155033,0.07740676882641925,0.03431655940486893,agriculture,andover,13
1,0.36903858529058325,0.9602622985839844,867118,0.04005106571423959,0.07327491760060338,0.033223851886363794,agriculture,andover,14
1,0.4403971403545686,0.9361187970196759,613083,0.03310481615050491,0.06568604903414382,0.03258123288363892,agriculture,andover,15
1,0.4627739663199718,0.9532012939453125,605047,0.03438741122590477,0.06590066556812942,0.031513254342224656,agriculture,andover,16
1,0.2918349197377172,0.99237060546875,651053,0.045315819142220375,0.07992590464985186,0.034610085507631484,agriculture,andover,17
1,0.48250516682616146,0.9442087809244791,497404,0.03124824086657928,0.06708832257078753,0.03584008170420825,agriculture,andover,18
1,0.4251857353020378,0.96199951171875,705574,0.03331188507513032,0.06581449996740242,0.03250261489227211,agriculture,andover,19
1,0.27113252053828846,0.9816691080729166,663882,0.045188753423048074,0.07968886036976451,0.03450010694671644,agriculture,andover,20
1,0.31487223716724505,0.9829844599184783,730455,0.04377819304406158,0.07890013758547755,0.03512194454141597,agriculture,andover,21
1,0.3838966500682965,0.9545465284778226,807509,0.03306217020491412,0.0630915568742887,0.03002938666937458,agriculture,andover,22
1,0.39249946189589896,0.9545465284778226,789810,0.03235714918777934,0.06257327711728138,0.030216127929502033,agriculture,andover,23
1,0.4474908110076567,0.9670831088362069,648058,0.03220545074669243,0.06585675973446821,0.03365130898777578,agriculture,andover,24
1,0.3530839205582578,0.9631014737215909,934622,0.038119154053724395,0.06989135714759549,0.031772203093871104,agriculture,andover,25
1,0.2671063398903893,1.0324152166193181,411821,0.05452854516889619,0.08751617814535927,0.03298763297646307,agriculture,andover,26
1,0.3838662439398894,0.9552702727141203,703370,0.039629213642890654,0.07128964840695509,0.03166043476406443,agriculture,andover,27
1,0.44991653272599774,0.9624865301724138,644564,0.03571096120788626,0.06822130928813896,0.032510348080252695,agriculture,andover,28
1,0.4190721165309499,0.9834573679956896,692005,0.03209080859242346,0.06480010982579605,0.03270930123337259,agriculture,andover,29
1,0.409781348603637,0.9545465284778226,756501,0.03343287054478448,0.06485516873077497,0.0314222981859905,agriculture,andover,30
1,0.43371112670405876,0.9287915910993304,645591,0.03328732897453651,0.0670656809032344,0.03377835192869789,agriculture,andover,31
1,0.38676002717409586,0.9351727029551631,594684,0.0331957812888862,0.06548856199258767,0.03229278070370146,agriculture,andover,32
1,0.3199554844543368,0.9829844599184783,718850,0.04369757251165055,0.07871044028656883,0.03501286777491827,agriculture,andover,33
1,0.4254613688412633,0.9624865301724138,681613,0.03711930376914759,0.06862691879409577,0.03150761502494817,agriculture,andover,34
1,0.45391296453687574,0.9204606681034483,638889,0.033227994221218395,0.06698503182869012,0.03375703760747172,agriculture,andover,35
1,0.344430284532747,0.9698131930443549,900037,0.03999613349228976,0.07262701422274861,0.03263088073045886,agriculture,andover,36
1,0.3938985120483708,0.9323768615722656,406196,0.027767383233709836,0.06515327575850083,0.037385892524790985,agriculture,andover,37
1,0.3027433594085067,0.9816691080729166,594563,0.046960540766916206,0.08089302563395301,0.033932484867036795,agriculture,andover,38
1,0.28465387184006835,1.0369826096754808,456695,0.05402511523007696,0.08644062229715675,0.03241550706707978,agriculture,andover,39
1,0.3983326931557908,0.9779575892857143,702930,0.03213406740358215,0.06494103253524533,0.03280696513166318,agriculture,andover,40
1,0.4380653781286473,0.9779575892857143,639174,0.03206951471743218,0.06526548326433804,0.03319596854690585,agriculture,andover,41
1,0.35214871240124707,0.9602622985839844,908707,0.03683035345826543,0.06744198074847008,0.030611627290204654,agriculture,andover,42
1,0.44419964108669,0.96199951171875,675372,0.03246507110155588,0.06569860758219175,0.03323353648063586,agriculture,andover,43
1,0.29815560940025004,0.9916219075520833,503093,0.05101840017650812,0.08414945149306391,0.03313105131655578,agriculture,andover,44
1,0.4254351541468925,0.9670831088362069,681655,0.032642612465250014,0.0657385334223324,0.03309592095708239,agriculture,andover,45
1,0.3780631554501179,0.9617767333984375,740617,0.04186104288721431,0.07375742117720765,0.031896378289993345,agriculture,andover,46
1,0.4129539662896352,0.9545465284778226,750689,0.033639762937781155,0.06529734683737207,0.03165758389959091,agriculture,andover,47
1,0.47786984736837074,0.95192138671875,523155,0.032930966921849165,0.06820540757519282,0.035274440653343654,agriculture,andover,48
1,0.36142625796740874,0.9545465284778226,857713,0.03562380423288443,0.06661435701685763,0.030990552783973193,agriculture,andover,49
1,0.26705264675878204,0.9916219075520833,561687,0.04863918872966617,0.08105581934422552,0.03241663061455936,agriculture,andover,50
1,0.2712741538333125,1.0369826096754808,479220,0.05251658945786904,0.08451859271315888,0.032002003255289846,agriculture,andover,51
1,0.3953400701163853,0.9272286551339286,708251,0.03150154394416669,0.06290707672844796,0.03140553278428128,agriculture,andover,52
1,0.3471804068737381,0.9617462158203125,921711,0.03914784569132841,0.07114052018474337,0.03199267449341497,agriculture,andover,53
1,0.4440274447571942,0.95538330078125,517986,0.03175182340835467,0.06677400547505145,0.035022182066696786,agriculture,andover,54
1,0.398403729058904,0.9408528645833333,753005,0.031390229812551046,0.0619052994336027,0.030515069621051653,agriculture,andover,55
1,0.27055067649432196,0.9829844599184783,850118,0.039996800444173634,0.07221703340006917,0.03222023295589554,agriculture,andover,56
1,0.4392839320480471,0.95192138671875,569108,0.032080026989604785,0.06622995986701997,0.03414993287741518,agriculture,andover,57
1,0.3664354865896826,0.96199951171875,818698,0.03473197687059209,0.06529269645217162,0.03056071958157953,agriculture,andover,58
1,0.38557741461636913,0.9545465284778226,803989,0.03754777739496436,0.07038777893727402,0.032840001542309656,agriculture,andover,59
1,0.4167222296306174,0.9377034505208334,359952,0.024247677468106858,0.06125816775570076,0.0370104902875939,agriculture,andover,60
1,0.3947384947185784,0.9370450106534091,557331,0.032768677859297254,0.0656665428623206,0.03289786500302334,agriculture,andover,61
1,0.3968206727697686,0.96199951171875,756009,0.033815734997863785,0.06625185679006466,0.03243612179220089,agriculture,andover,62
1,0.4607824744677139,0.9287915910993304,607662,0.03362889237767048,0.06790617152298482,0.03427727914531434,agriculture,andover,63
1,0.2714654870414011,0.9860403878348214,773579,0.04189358811446536,0.07495679174331257,0.03306320362884722,agriculture,andover,64
1,0.4476663989994656,0.9323768615722656,357409,0.02499657255413266,0.06289712905942492,0.037900556505292254,agriculture,andover,65
1,0.3656006361451069,0.9235280354817709,328227,0.022091418439068086,0.059282143150929084,0.037190724711861,agriculture,andover,66
1,0.38212612143402025,0.9552702727141203,706573,0.040751627928041406,0.0722246675148923,0.031473039586850896,agriculture,andover,67
1,0.45444512250542085,0.9480983189174107,616136,0.03502960385369464,0.06788923224742589,0.03285962839373125,agriculture,andover,68
1,0.33950285465316954,0.954840087890625,883645,0.040171109438745196,0.0730304590644433,0.0328593496256981,agriculture,andover,69
1,0.4804185756025977,0.948486328125,457934,0.029657112160267635,0.06644844016823385,0.036791328007966216,agriculture,andover,70
1,0.35157340083542626,0.9602622985839844,910194,0.03856210873725821,0.07028062149387933,0.03171851275662112,agriculture,andover,71
1,0.3565209990868462,0.9698131930443549,869514,0.0407756516858843,0.07422767200988138,0.033452020323997085,agriculture,andover,72
1,0.392006428905434,0.9617767333984375,714274,0.04193488773215881,0.0732436011950596,0.03130871346290079,agriculture,andover,73
1,0.4161551426371751,0.9492853338068182,528649,0.03304839316824585,0.0679846173926367,0.034936224224390855,agriculture,andover,74
1,0.4542002623460715,0.9610546875,550418,0.029308634528667304,0.06452732287098169,0.03521868834231438,agriculture,andover,75
1,0.30557099578312025,0.9689970470610119,687238,0.04475451008238776,0.07919963680704502,0.03444512672465725,agriculture,andover,76
